Burial,Structure,Date,Age,Sex,LAC,Sr Tooth,87Sr/86Sr,Average ?18O (‰PDB) canines,Average ?18O (‰PDB) molars
PNT-186,3.00E-44,Terminal Classic,20–35 years,I,0.70813,M3,0.70813,,-2.4
PNT-189,3D-37,Late Classic,35–50 years,F,,,,,-2.4
PNT-212A,3D-43,Early Classic,35–50 years,M,0.71626,M3,0.71626,,-2.1
PNT-212B,3D-43,Early Classic,15–18 years,F?,0.70821,Canine,0.70821,-3,
PNT-213,"Zona N, Plaza E",Late Classic,15 ± 3 years,F?,,,,,-2.5
PNT-223,3E-XII Plaza E,Late Classic,>50 years,M,,,,-2.4,
PTP-002,7F-30,Late Classic,>50 years,I,0.70847,Canine,0.70847,-1.9,
PTP-010X (A)e,5D-34,Early Classic,Adult,M?,0.70832,Canine,0.70832,,
PTP-010E or F,5D-34,Early Classic,11–12 years,I,0.70831,Dec. Canine,0.70831,-2.2,
PTP-010J,5D-34,Early Classic,6 ± 2 years,I,0.70805,Dec. Canine,0.70805,,
PTP-010W7 (G)e,5D-34,Early Classic,>19 years,I,0.70819,M1,0.70819,,
PTP-010A (G)e,5D-34,Early Classic,>19 years,I,0.70828,M1,0.70828,,-3.2
PTP-022B,5D-26,Early Classic,20–35 years,I,,Canine,,-2.8,
PTP-023,5D-33,Late Classic,20–35 years,I,0.70751,M3,0.70751,,-6.2
PTP-035,4F-8,Early Classic,Adult,I,0.70824,Canine,0.70824,-4.8,
PTP-045,4F-26,Late Classic,Adult,I,0.70804,Canine,0.70804,-2.3,-4.4
PTP-048B,5D-33,Early Classic,15 ± 3 years,I,0.70811,M3,0.70811,,-6.2
PTP-048C,5D-33,Early Classic,11 ± 3 years,I,0.70822,Canine,0.70822,-3.3,
PTP-049,2G-59,Late Classic,20–35 years,I,0.70795,Canine,0.70795,-3.2,
PTP-050,2G-59,Late Classic,20–35 years,I,0.70804,Canine,0.70804,-2.8,
PTP-052,2G-59,Late Classic,Adult,I,,,,-1.9,
PTP-055,2G-59,Late Classic,15 ± 3 years,I,0.70819,Canine,0.70819,-1.8,
PTP-057,2G-59,Late Classic,Adult,I,0.708,Canine,0.708,-2.1,
PTP-062,Chultun 2G-2,Preclassic,20–35 years,I,,,,,-4.4
PTP-069,3F-26,Late Classic,>35 years,F,0.7085,Canine,0.7085,-4.3,
PTP-077,5D-11,Late Classic,20–35 years,I,0.70825,Canine,0.70825,-2.9,
PTP-091,4H-4,Late Classic,Adult,I,0.70822,Canine,0.70822,-1.3,
PTP-096,4H-4,Late Classic,35–50 years,I,0.70809,Canine,0.70809,-3.7,
PTP-097A,4H-4,Late Classic,35–50 years,M?,0.70797,Canine,0.70797,-1.4,
PTP-101,4H-4,Early Classic,Adult,I,0.708,Canine,0.708,-2.5,-2.7
PTP-103,4H-4,Late Classic,Adult,I,,,,-1.6,
PTP-105,4H-4,Late Classic,20–35 years,I,0.7077,M3,0.7077,,-2.3
PTP-107A,4H-4 chultun,Early Classic,20–35 years,M?,0.70832,Canine,0.70832,-2.5,-4.6
PTP-107E,4H-4 chultun,Early Classic,>35 years,F?,0.70823,Canine,0.70823,-4.1,
PTP-107G1,4H-4 chultun,Early Classic,20–35 years,M?,0.7089,Canine,0.7089,-4.9,-4.9
PTP-107G2,4H-4 chultun,Early Classic,20–35 years,M?,0.7081,Canine,0.7081,-4.7,-4.2
PTP-109,4H-4,Late Classic,Adult,I,,,,-2.7,
PTP-125A,5D-22,Preclassic,20–35 years,M,0.70835,Canine,0.70835,-2.2,
PTP-128,Plat.6E-sub1,Preclassic,35–50 years,I,,,,-3.9,
PTP-135,6C-41-1st,Late Classic,2–3 years,I,,Dec. Canine,,-2.5,
PTP-151A,Plat.6E-1,Late Classic,20–35 years,M?,0.70779,Canine,0.70779,-5,-5.6
PTP-152,6.00E-26,Early Classic,Adult,I,0.7081,Canine,0.7081,-3.4,
PTP-158,5F-1,Preclassic,20–35 years,M?,0.70809,Canine,0.70809,-3.6,-4.9
PTP-160A,7F-30,Early Classic,>35 years,M,0.70901,Canine,0.70901,-2.8,
PTP-160B,7F-30,Early Classic,7 ± 2 years,I,0.70772,Dec. Canine,0.70772,-2.5,
PTP-161,Plat.6E-1,Late Classic,4 ± 1 years,I,0.70826,Canine,0.70826,-2.8,
PTP-162,7F-30,Early Classic,>35 years,F,0.7085,M3,0.7085,,-2.8
PTP-164,5D-4,Preclassic,15–20 years,M?,0.70822,Canine,0.70822,-1.8,-2
PTP-168,6.00E-01,Terminal Classic,20–35 years,M?,0.70802,Canine,0.70802,-2.8,
PTP-174,5D-79,Late Classic,9–10 years,I,0.7082,Canine,0.7082,-4.2,
PTP-177,5D-71,Early Classic,20–35 years,M,0.70836,M3,0.70836,-3.3,-3.3
PTP-180,5D-50,Late Classic,Adult,F?,,,,-4.1,
PTP-182,5D-46,Early Classic,Adult,F?,0.70651,P3,0.70651,-4,-5.5
PTP-186,3H-9,Late Classic,Adult,M?,,,,,-3.4
PTP-190,7F-30,Late Classic,15 ± 3 years,I,,,,-2.3,
PTP-196,5D-73,Late Classic,>35 years,M,0.70803,Canine,0.70803,-5,
PTP-201,5D-22,Terminal Classic,15 ± 3 years,I,0.70812,Canine,0.70812,-1.1,
PTP-209,Uolantun SE482,Early Classic,Adult,I,0.70837,Canine,0.70837,-3.5,
PTP-214,Uolantun SE482,Early Classic,20–35 years,M?,,,,-4.2,-4.5
PTP-215,5D-48,Postclassic,9–10 years,I,,,,-1.2,
PTP-PD111-22,Chultun 5C-1,Early Classic,20–35 years,M?,0.70774,M1,0.70774,,
PTP-PD111-26,Chultun 5C-1,Early Classic,20–35 years,M?,0.70796,I2,0.70796,,
PTP-PD170-36,Temple 6,Early Classic,20–35 years,I,0.70802,M1,0.70802,,
PTP-PD170-55,Temple 6,Early Classic,20–35 years,I,0.70803,I1,0.70803,,
PTP-PD170-63,Temple 6,Early Classic,20–35 years,F?,0.7081,M2,0.7081,,
PTP-PD231,Chultun 6C-11,Early Classic,35–50 years,M?,0.70417,Canine,0.70417,-5.9,
PTP-PD274,No assoc. str.,Early Classic,Adult,M?,0.70796,M3,0.70796,,
PTI-001,5D-1,Terminal Classic,14–18 years,M,0.70406,M3,0.70406,,-6.7
PTV-001,5D-5,Late Classic,15 ± 3 years,F,0.70822,M3,0.70822,,-2.3
PTV-002,5D-5,Late Classic,18–22 years,M,0.70822,M3,0.70822,,-2.5
